,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,remote_ratio,company_size,companyLocation,employeeResidence
127,2021,Mid-level,Full-time,Data Scientist,700000,INR,9466,No remote,Small,India,India
128,2021,Entry-level,Full-time,Machine Learning Engineer,20000,USD,20000,Fully remote,Small,India,India
129,2021,Senior-level,Full-time,Lead Data Scientist,3000000,INR,40570,Partially remote,Large,India,India
130,2021,Entry-level,Full-time,Machine Learning Developer,100000,USD,100000,Partially remote,Small,Iraq,Iraq
131,2021,Entry-level,Full-time,Data Scientist,42000,EUR,49646,Partially remote,Medium,France,France
132,2021,Mid-level,Full-time,Applied Machine Learning Scientist,38400,USD,38400,Fully remote,Medium,United States of America (the),Viet Nam
133,2021,Senior-level,Full-time,Computer Vision Engineer,24000,USD,24000,Fully remote,Medium,Brazil,Brazil
134,2021,Entry-level,Full-time,Data Scientist,100000,USD,100000,No remote,Small,United States of America (the),United States of America (the)
135,2021,Mid-level,Full-time,Data Analyst,90000,USD,90000,Fully remote,Medium,United States of America (the),United States of America (the)
136,2021,Mid-level,Full-time,ML Engineer,7000000,JPY,63711,Partially remote,Small,Japan,Japan
137,2021,Mid-level,Full-time,ML Engineer,8500000,JPY,77364,Partially remote,Small,Japan,Japan
138,2021,Senior-level,Full-time,Principal Data Scientist,220000,USD,220000,No remote,Large,United States of America (the),United States of America (the)
139,2021,Entry-level,Full-time,Data Scientist,80000,USD,80000,Fully remote,Medium,United States of America (the),United States of America (the)
140,2021,Mid-level,Full-time,Data Analyst,135000,USD,135000,Fully remote,Large,United States of America (the),United States of America (the)
141,2021,Senior-level,Full-time,Data Science Manager,240000,USD,240000,No remote,Large,United States of America (the),United States of America (the)
142,2021,Senior-level,Full-time,Data Engineering Manager,150000,USD,150000,No remote,Large,United States of America (the),United States of America (the)
143,2021,Mid-level,Full-time,Data Scientist,82500,USD,82500,Fully remote,Small,United States of America (the),United States of America (the)
144,2021,Mid-level,Full-time,Data Engineer,100000,USD,100000,Fully remote,Large,United States of America (the),United States of America (the)
145,2021,Senior-level,Full-time,Machine Learning Engineer,70000,EUR,82744,Partially remote,Medium,Belgium,Belgium
146,2021,Mid-level,Full-time,Research Scientist,53000,EUR,62649,Partially remote,Medium,France,France
147,2021,Mid-level,Full-time,Data Engineer,90000,USD,90000,Fully remote,Large,United States of America (the),United States of America (the)
148,2021,Senior-level,Full-time,Data Engineering Manager,153000,USD,153000,Fully remote,Large,United States of America (the),United States of America (the)
149,2021,Senior-level,Full-time,Cloud Data Engineer,160000,USD,160000,Fully remote,Small,United States of America (the),Brazil
150,2021,Senior-level,Full-time,Director of Data Science,168000,USD,168000,No remote,Small,Japan,Japan
151,2021,Mid-level,Full-time,Data Scientist,150000,USD,150000,Fully remote,Medium,United States of America (the),United States of America (the)
152,2021,Mid-level,Full-time,Data Scientist,95000,CAD,75774,Fully remote,Large,Canada,Canada
153,2021,Entry-level,Full-time,Data Scientist,13400,USD,13400,Fully remote,Large,Ukraine,Ukraine
154,2021,Senior-level,Full-time,Data Science Manager,144000,USD,144000,Fully remote,Large,United States of America (the),United States of America (the)
155,2021,Senior-level,Full-time,Data Science Engineer,159500,CAD,127221,Partially remote,Large,Canada,Canada
156,2021,Mid-level,Full-time,Data Scientist,160000,SGD,119059,Fully remote,Medium,Israel,Singapore
157,2021,Mid-level,Full-time,Applied Machine Learning Scientist,423000,USD,423000,Partially remote,Large,United States of America (the),United States of America (the)
158,2021,Senior-level,Full-time,Data Analytics Manager,120000,USD,120000,Fully remote,Medium,United States of America (the),United States of America (the)
159,2021,Entry-level,Full-time,Machine Learning Engineer,125000,USD,125000,Fully remote,Small,United States of America (the),United States of America (the)
160,2021,Executive-level,Full-time,Head of Data,230000,USD,230000,Partially remote,Large,Russian Federation (the),Russian Federation (the)
161,2021,Executive-level,Full-time,Head of Data Science,85000,USD,85000,No remote,Medium,Russian Federation (the),Russian Federation (the)
162,2021,Mid-level,Full-time,Data Engineer,24000,EUR,28369,Partially remote,Large,Malta,Malta
163,2021,Entry-level,Full-time,Data Science Consultant,54000,EUR,63831,Partially remote,Large,Germany,Germany
164,2021,Executive-level,Full-time,Director of Data Science,110000,EUR,130026,Partially remote,Medium,Germany,Germany
165,2021,Senior-level,Full-time,Data Specialist,165000,USD,165000,Fully remote,Large,United States of America (the),United States of America (the)
166,2021,Entry-level,Full-time,Data Engineer,80000,USD,80000,Fully remote,Large,United States of America (the),United States of America (the)
167,2021,Executive-level,Full-time,Director of Data Science,250000,USD,250000,No remote,Large,United States of America (the),United States of America (the)
168,2021,Entry-level,Full-time,BI Data Analyst,55000,USD,55000,Partially remote,Small,United States of America (the),United States of America (the)
169,2021,Mid-level,Full-time,Data Architect,150000,USD,150000,Fully remote,Large,United States of America (the),United States of America (the)
170,2021,Mid-level,Full-time,Data Architect,170000,USD,170000,Fully remote,Large,United States of America (the),United States of America (the)
171,2021,Mid-level,Full-time,Data Engineer,60000,GBP,82528,Fully remote,Large,United Kingdom of Great Britain and Northern Ireland (the),United Kingdom of Great Britain and Northern Ireland (the)
172,2021,Entry-level,Full-time,Data Analyst,60000,USD,60000,Fully remote,Small,United States of America (the),United States of America (the)
173,2021,Senior-level,Full-time,Principal Data Scientist,235000,USD,235000,Fully remote,Large,United States of America (the),United States of America (the)
174,2021,Senior-level,Full-time,Research Scientist,51400,EUR,60757,Partially remote,Large,Portugal,Portugal
175,2021,Senior-level,Full-time,Data Engineering Manager,174000,USD,174000,Fully remote,Large,United States of America (the),United States of America (the)
176,2021,Mid-level,Full-time,Data Scientist,58000,MXN,2859,No remote,Small,Mexico,Mexico
177,2021,Mid-level,Full-time,Data Scientist,30400000,CLP,40038,Fully remote,Large,Chile,Chile
178,2021,Entry-level,Full-time,Machine Learning Engineer,81000,USD,81000,Partially remote,Small,United States of America (the),United States of America (the)
179,2021,Mid-level,Full-time,Data Scientist,420000,INR,5679,Fully remote,Small,United States of America (the),India
180,2021,Mid-level,Full-time,Big Data Engineer,1672000,INR,22611,No remote,Large,India,India
181,2021,Mid-level,Full-time,Data Scientist,76760,EUR,90734,Partially remote,Large,Germany,Germany
182,2021,Mid-level,Full-time,Data Engineer,22000,EUR,26005,No remote,Large,United States of America (the),Romania
183,2021,Senior-level,Full-time,Finance Data Analyst,45000,GBP,61896,Partially remote,Large,United Kingdom of Great Britain and Northern Ireland (the),United Kingdom of Great Britain and Northern Ireland (the)
184,2021,Mid-level,Freelance,Machine Learning Scientist,12000,USD,12000,Partially remote,Medium,Pakistan,Pakistan
185,2021,Mid-level,Full-time,Data Engineer,4000,USD,4000,Fully remote,Medium,Iran (Islamic Republic of),Iran (Islamic Republic of)
186,2021,Senior-level,Full-time,Data Analytics Engineer,50000,USD,50000,Fully remote,Medium,United Kingdom of Great Britain and Northern Ireland (the),Viet Nam
187,2021,Executive-level,Full-time,Data Science Consultant,59000,EUR,69741,Fully remote,Small,Spain,France
188,2021,Senior-level,Full-time,Data Engineer,65000,EUR,76833,Partially remote,Small,United Kingdom of Great Britain and Northern Ireland (the),Romania
189,2021,Mid-level,Full-time,Machine Learning Engineer,74000,USD,74000,Partially remote,Small,Japan,Japan
190,2021,Senior-level,Full-time,Data Science Manager,152000,USD,152000,Fully remote,Large,France,United States of America (the)
191,2021,Entry-level,Full-time,Machine Learning Engineer,21844,USD,21844,Partially remote,Medium,Colombia,Colombia
192,2021,Mid-level,Full-time,Big Data Engineer,18000,USD,18000,No remote,Small,Moldova (the Republic of),Moldova (the Republic of)
193,2021,Senior-level,Full-time,Data Science Manager,174000,USD,174000,Fully remote,Large,United States of America (the),United States of America (the)
194,2021,Senior-level,Full-time,Research Scientist,120500,CAD,96113,Partially remote,Large,Canada,Canada
195,2021,Mid-level,Full-time,Data Scientist,147000,USD,147000,Partially remote,Large,United States of America (the),United States of America (the)
196,2021,Entry-level,Full-time,BI Data Analyst,9272,USD,9272,Fully remote,Small,Kenya,Kenya
197,2021,Senior-level,Full-time,Machine Learning Engineer,1799997,INR,24342,Fully remote,Large,India,India
198,2021,Senior-level,Full-time,Data Science Manager,4000000,INR,54094,Partially remote,Large,United States of America (the),India
199,2021,Entry-level,Full-time,Data Science Consultant,90000,USD,90000,Fully remote,Small,United States of America (the),United States of America (the)
200,2021,Mid-level,Full-time,Data Scientist,52000,EUR,61467,Partially remote,Medium,Austria,Germany
201,2021,Senior-level,Full-time,Machine Learning Infrastructure Engineer,195000,USD,195000,Fully remote,Medium,United States of America (the),United States of America (the)
202,2021,Mid-level,Full-time,Data Scientist,32000,EUR,37825,Fully remote,Large,Spain,Spain
203,2021,Senior-level,Full-time,Research Scientist,50000,USD,50000,Fully remote,Small,United States of America (the),France
204,2021,Mid-level,Full-time,Data Scientist,160000,USD,160000,Fully remote,Large,United States of America (the),United States of America (the)
205,2021,Mid-level,Full-time,Data Scientist,69600,BRL,12901,No remote,Small,Brazil,Brazil
206,2021,Senior-level,Full-time,Machine Learning Engineer,200000,USD,200000,Fully remote,Large,United States of America (the),United States of America (the)
207,2021,Senior-level,Full-time,Data Engineer,165000,USD,165000,No remote,Medium,United States of America (the),United States of America (the)
208,2021,Mid-level,Freelance,Data Engineer,20000,USD,20000,No remote,Large,United States of America (the),Italy
209,2021,Senior-level,Full-time,Data Analytics Manager,120000,USD,120000,No remote,Large,United States of America (the),United States of America (the)
210,2021,Mid-level,Full-time,Machine Learning Engineer,21000,EUR,24823,Partially remote,Large,Slovenia,Slovenia
211,2021,Mid-level,Full-time,Research Scientist,48000,EUR,56738,Partially remote,Small,France,France
212,2021,Mid-level,Full-time,Data Engineer,48000,GBP,66022,Partially remote,Small,United Kingdom of Great Britain and Northern Ireland (the),Hong Kong
213,2021,Entry-level,Full-time,Big Data Engineer,435000,INR,5882,No remote,Large,Switzerland,India
214,2021,Entry-level,Full-time,Machine Learning Engineer,21000,EUR,24823,Partially remote,Medium,Germany,Germany
215,2021,Senior-level,Full-time,Principal Data Engineer,185000,USD,185000,Fully remote,Large,United States of America (the),United States of America (the)
216,2021,Entry-level,Part-time,Computer Vision Engineer,180000,DKK,28609,Partially remote,Small,Denmark,Denmark
217,2021,Mid-level,Full-time,Data Scientist,76760,EUR,90734,Partially remote,Large,Germany,Germany
218,2021,Mid-level,Full-time,Machine Learning Engineer,75000,EUR,88654,Fully remote,Medium,Belgium,Belgium
219,2021,Senior-level,Full-time,Data Analytics Manager,140000,USD,140000,Fully remote,Large,United States of America (the),United States of America (the)
220,2021,Mid-level,Full-time,Machine Learning Engineer,180000,PLN,46597,Fully remote,Large,Poland,Poland
221,2021,Mid-level,Full-time,Data Scientist,85000,GBP,116914,Partially remote,Large,United Kingdom of Great Britain and Northern Ireland (the),United Kingdom of Great Britain and Northern Ireland (the)
222,2021,Mid-level,Full-time,Data Scientist,2500000,INR,33808,No remote,Medium,India,India
223,2021,Mid-level,Full-time,Data Scientist,40900,GBP,56256,Partially remote,Large,United Kingdom of Great Britain and Northern Ireland (the),United Kingdom of Great Britain and Northern Ireland (the)
224,2021,Senior-level,Full-time,Machine Learning Scientist,225000,USD,225000,Fully remote,Large,Canada,United States of America (the)
225,2021,Executive-level,Contract,Principal Data Scientist,416000,USD,416000,Fully remote,Small,United States of America (the),United States of America (the)
226,2021,Senior-level,Full-time,Data Scientist,110000,CAD,87738,Fully remote,Small,Canada,Canada
227,2021,Mid-level,Full-time,Data Scientist,75000,EUR,88654,Partially remote,Large,Germany,Germany
228,2021,Senior-level,Full-time,Data Scientist,135000,USD,135000,No remote,Large,United States of America (the),United States of America (the)
229,2021,Senior-level,Full-time,Data Analyst,90000,CAD,71786,Fully remote,Medium,Canada,Canada
230,2021,Entry-level,Full-time,Big Data Engineer,1200000,INR,16228,Fully remote,Large,India,India
231,2021,Senior-level,Full-time,ML Engineer,256000,USD,256000,Fully remote,Small,United States of America (the),United States of America (the)
232,2021,Senior-level,Full-time,Director of Data Engineering,200000,USD,200000,Fully remote,Large,United States of America (the),United States of America (the)
233,2021,Senior-level,Full-time,Data Analyst,200000,USD,200000,Fully remote,Large,United States of America (the),United States of America (the)
234,2021,Mid-level,Full-time,Data Architect,180000,USD,180000,Fully remote,Large,United States of America (the),United States of America (the)
235,2021,Mid-level,Full-time,Head of Data Science,110000,USD,110000,No remote,Small,United States of America (the),United States of America (the)
236,2021,Mid-level,Full-time,Research Scientist,80000,CAD,63810,Fully remote,Medium,Canada,Canada
237,2021,Mid-level,Full-time,Data Scientist,39600,EUR,46809,Fully remote,Medium,Spain,Spain
238,2021,Entry-level,Full-time,Data Scientist,4000,USD,4000,No remote,Medium,Viet Nam,Viet Nam
239,2021,Entry-level,Full-time,Data Engineer,1600000,INR,21637,Partially remote,Medium,India,India
240,2021,Senior-level,Full-time,Data Scientist,130000,CAD,103691,Fully remote,Large,Canada,Canada
241,2021,Mid-level,Full-time,Data Analyst,80000,USD,80000,Fully remote,Large,United States of America (the),United States of America (the)
242,2021,Mid-level,Full-time,Data Engineer,110000,USD,110000,Fully remote,Large,United States of America (the),United States of America (the)
243,2021,Senior-level,Full-time,Data Scientist,165000,USD,165000,Fully remote,Large,United States of America (the),United States of America (the)
244,2021,Entry-level,Full-time,AI Scientist,1335000,INR,18053,Fully remote,Small,American Samoa,India
245,2021,Mid-level,Full-time,Data Engineer,52500,GBP,72212,Partially remote,Large,United Kingdom of Great Britain and Northern Ireland (the),United Kingdom of Great Britain and Northern Ireland (the)
